N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,Output,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Fertilizer Name,NPK_Distance_Score
207,7.2,496,7.55,0.61,0.64,26.2,0.24,0.47,1.15,1.99,1.94,0,25,50,40,Clayey,Pulses,20-20,87.6408164906282
201,5.5,359,7.44,0.76,0.78,26,0.18,0.83,0.71,2.24,1.91,0,25,50,40,Clayey,Pulses,28-28,63.5236558479321
364,7.5,507,7.63,0.52,0.69,14.6,0.23,1.19,0.39,2.16,2.82,1,30,59,31,Red,Tobacco,14-35-14,93.2130011791579
220,8.3,560,7.42,0.63,0.61,15.8,0.19,1.08,0.34,1.77,0.74,0,25,50,40,Clayey,Pulses,Urea,99.1632868750476
245,8.3,560,7.58,0.74,0.83,8.2,0.32,0.96,1.57,2.67,0.59,0,25,50,40,Clayey,Pulses,DAP,99.5945064667845
207,7.7,676,7.41,0.42,1,15,0.27,0.92,1.43,3.12,1.85,0,25,50,40,Clayey,Pulses,20-20,119.569392587029
276,8.3,401,7.34,0.53,0.72,14.8,0.28,0.57,1.34,2.15,2.18,1,25,50,40,Clayey,Pulses,28-28,72.675763635487
207,5,560,7.4,0.84,0.67,25.4,0.27,0.46,1.53,2.43,2.12,0,25,50,40,Clayey,Pulses,DAP,98.9589849850751
245,5.7,465,7.29,0.63,0.61,22.4,0.25,0.44,1.24,2.11,0.74,0,25,50,40,Clayey,Pulses,Urea,82.9469984564098
169,8.1,549,8.23,0.58,0.56,21,0.2,0.38,1.15,3.01,2,1,25,50,40,Clayey,Pulses,14-35-14,96.4676954860317
182,5,560,7.62,0.52,0.47,22.4,0.73,0.46,1.14,2.72,1.97,0,25,50,40,Clayey,Pulses,28-28,98.5979298189498
220,8.3,760,7.48,0.59,0.67,24,0.83,0.37,1.99,3.84,0.88,0,25,50,40,Clayey,Pulses,Urea,134.699081217936
138,5.7,401,7.42,0.72,0.78,26,0.37,0.32,1.34,3.77,2,1,25,50,40,Clayey,Pulses,14-35-14,69.729396192522
238,8.3,697,7.59,0.43,0.83,25.4,0.45,0.43,1.43,2.65,2.29,0,25,50,40,Clayey,Pulses,DAP,123.721649170361
151,8.1,517,7.46,0.43,0.86,16,0.36,0.38,1.92,2.88,0.59,0,25,50,40,Clayey,Pulses,17-17-17,90.5418556345846
207,7.9,612,7.44,0.55,1,14.6,0.45,0.47,1.47,3.16,1.88,0,25,50,40,Clayey,Pulses,DAP,108.184314210045
138,8.3,581,7.63,0.86,0.53,7.2,0.76,0.35,1.42,5.07,2.47,0,25,50,40,Clayey,Pulses,20-20,101.830251104841
182,10.7,708,7.48,0.57,1.11,14.2,0.59,0.92,1.15,6.69,0.65,0,25,50,40,Clayey,Pulses,14-35-14,124.985339656773
138,7.5,612,7.54,0.72,0.54,16,0.29,0.95,1.91,4.64,2.53,0,25,50,40,Clayey,Pulses,28-28,107.37780287897
207,8.3,370,7.52,0.44,1.03,17.4,0.31,0.81,1.43,4.98,2.41,0,25,50,40,Clayey,Pulses,Urea,65.5691250563051
295,8.6,676,7.41,0.48,0.97,26,0.38,0.71,1.97,5.15,2,1,25,50,40,Clayey,Pulses,DAP,120.925983505179
289,5.7,338,7.64,0.57,0.72,14.6,0.18,1.06,0.92,2.46,1.85,1,30,59,31,Red,Tobacco,14-35-14,62.4534051712454
207,7,444,7.55,0.57,0.83,8.6,0.18,0.96,0.93,2.15,2.18,0,25,50,40,Clayey,Pulses,20-20,78.4899471662362
138,8.1,718,7.48,0.63,0.94,12.6,0.19,1.02,1.15,2.24,2.47,0,25,50,40,Clayey,Pulses,28-28,126.367916240303
138,8.3,454,7.65,0.58,1.03,14,0.25,1.05,1.19,2.16,2.82,0,25,50,40,Clayey,Pulses,Urea,79.1542873181358
82,7.9,496,7.37,0.51,1.06,11,0.2,1.03,1.04,2.35,1.82,1,25,50,40,Clayey,Pulses,14-35-14,86.1324622819353
107,8.3,612,7.43,0.43,0.75,7.2,0.18,0.95,0.89,2.16,0.74,0,25,50,40,Clayey,Pulses,28-28,107.122613634658
38,7,370,7.57,0.42,1.08,14,0.18,0.86,1.04,2,2.23,1,25,50,40,Clayey,Pulses,20-20,63.2568328929138
88,7.2,655,7.46,0.44,1,13.1,0.18,0.78,1.03,2.27,1.94,2,25,50,40,Clayey,Pulses,Urea,114.725458884473
19,5.3,708,7.38,0.29,1.06,12.8,0.17,0.76,0.92,2.88,2.21,0,25,50,40,Clayey,Pulses,DAP,124.051118862774
56,7.7,444,7.32,0.67,0.83,11.2,0.23,0.95,0.88,2.65,1.82,0,25,50,40,Clayey,Pulses,17-17-17,76.6404957651366
50,8.3,475,7.36,0.34,0.83,11.6,0.43,0.59,0.89,2.2,1.32,1,25,50,40,Clayey,Pulses,28-28,82.1866873187777
38,7.5,454,7.4,0.48,0.92,8.8,0.3,1.29,1.71,4.99,2.59,0,25,50,40,Clayey,Pulses,Urea,78.3668244272139
25,8.1,591,7.33,0.43,0.78,14,0.46,0.35,1.74,2.38,2.29,0,25,50,40,Clayey,Pulses,20-20,102.994360649802
82,7.2,507,7.63,0.44,0.61,27.2,0.56,0.35,1.6,2.66,2.82,1,25,50,40,Clayey,Pulses,17-17-17,88.1074576314393
88,7.7,708,7.52,0.37,0.78,21,0.19,0.74,1.43,2.42,2.29,0,25,50,40,Clayey,Pulses,DAP,124.249860866019
144,7.2,623,7.57,0.54,0.92,22.8,0.37,0.51,1.69,6,2.26,0,25,50,40,Clayey,Pulses,Urea,109.403170732232
213,8.6,718,7.59,0.68,0.86,23,0.3,0.46,1.53,9.53,2.82,1,25,50,40,Clayey,Pulses,20-20,127.126804310588
282,5.7,454,7.48,0.46,0.81,16,0.32,0.5,1.34,3.7,2.47,1,25,50,40,Clayey,Pulses,28-28,81.9164658644982
264,9.4,475,7.52,0.43,0.78,14.8,0.27,0.61,1.41,2.88,2.41,1,25,50,40,Clayey,Pulses,10-26-26,85.1097529790638
301,7,507,7.46,0.42,0.69,23,0.23,0.46,1.02,2.71,1.71,1,25,50,40,Clayey,Pulses,Urea,91.5305499675493
226,7.5,348,7.62,0.31,0.75,11.3,0.78,0.4,1.04,2.43,1.29,0,25,50,40,Clayey,Pulses,DAP,62.249777826112
307,5,327,7.58,0.56,0.61,11.6,0.46,0.68,1.14,2.79,1.23,1,30,59,31,Red,Tobacco,20-20,61.2713790252309
326,5.9,517,7.41,0.32,0.81,25.7,0.5,0.65,1.16,2.27,1.35,1,25,50,40,Clayey,Pulses,14-35-14,93.8823987526237
251,5,391,7.59,0.62,0.89,11.7,0.56,0.64,1.03,7.75,1.38,1,25,50,40,Clayey,Pulses,10-26-26,70.2872171536083
213,4.8,444,7.55,0.47,0.75,11.8,0.63,0.5,1.02,7.71,1.53,0,25,50,40,Clayey,Pulses,20-20,78.6094940980278
195,5.5,507,7.57,0.37,0.69,11,0.28,0.48,0.91,1.89,1.65,0,25,50,40,Clayey,Pulses,28-28,89.3853300046762
31,5.9,581,7.33,0.71,0.83,11.2,0.37,0.54,1.13,1.99,1.59,0,25,50,40,Clayey,Pulses,Urea,101.205279266039
69,6.8,465,7.51,0.46,0.78,11.7,0.32,0.49,1.06,2.1,1.53,0,25,50,40,Clayey,Pulses,28-28,80.4849332073312
182,7.5,391,7.57,0.53,0.78,11.8,0.37,0.53,1.02,7.77,1.32,0,25,50,40,Clayey,Pulses,Urea,68.7034903403177
19,6.4,454,7.49,0.6,0.61,10.4,0.48,0.63,0.86,2,1.29,0,25,50,40,Clayey,Pulses,DAP,78.3262557891384
132,5.5,655,7.31,0.71,0.67,11,0.38,1.07,1.71,4.43,2.41,0,25,50,40,Clayey,Pulses,14-35-14,115.027741959685
163,7.7,517,7.32,0.49,0.75,12.6,0.35,3.42,1.6,10.61,2,0,25,50,40,Clayey,Pulses,28-28,90.6933918324465
182,8.1,507,7.23,0.73,0.81,10.2,0.37,2.19,1.52,2.75,2.06,0,25,50,40,Clayey,Pulses,20-20,89.1826955784152
295,5.5,433,7.34,0.46,0.75,13.6,0.42,0.6,1.22,2.53,2.26,1,25,50,40,Clayey,Pulses,10-26-26,78.6641065180478
201,5.7,253,7.51,0.63,0.83,3.2,0.44,0.77,1.16,3.76,2.12,0,30,59,31,Red,Tobacco,DAP,45.3985895383888
6,5,465,7.47,0.42,0.81,14.5,0.48,0.5,1.21,2.62,2.35,0,25,50,40,Clayey,Pulses,14-35-14,80.2994071802723
56,6.6,401,7.46,0.57,0.89,9,0.47,0.64,1.18,3.66,2.18,0,25,50,40,Clayey,Pulses,Urea,68.9140160030326
132,8.3,444,7.62,0.43,0.75,13,0.45,1.2,1.25,2.76,2.65,0,25,50,40,Clayey,Pulses,DAP,77.297742723273
69,8.1,338,7.5,0.63,0.78,8.4,0.37,2.12,1.03,2.84,2.26,0,25,50,40,Clayey,Pulses,20-20,57.6948109489736
270,7,391,7.4,0.61,0.67,27.1,0.42,1.18,1.04,2.76,1.62,1,25,50,40,Clayey,Pulses,28-28,70.8043418413818
326,7.5,401,7.3,0.23,0.56,26,0.52,2.08,1.68,3.43,2.12,1,30,59,31,Red,Tobacco,14-35-14,74.170127517688
351,8.6,454,7.5,0.38,0.72,19.5,0.48,2.06,1.26,2.77,1.85,1,30,59,31,Red,Tobacco,10-26-26,83.8543952332809
13,8.3,644,7.5,0.71,0.67,13.9,0.45,1.06,1.05,3.63,2.29,0,25,50,40,Clayey,Pulses,Urea,112.524312354315
314,8.1,454,7.4,0.59,0.75,23.9,0.36,0.59,1.25,2.76,2.21,1,25,50,40,Clayey,Pulses,10-26-26,82.7737243299651
282,8.3,465,7.4,0.76,0.61,2.5,0.38,0.74,1.43,2.74,0.94,1,25,50,40,Clayey,Pulses,DAP,83.8101798512366
6,7.5,412,7.4,0.41,0.81,6.5,0.46,0.5,1.47,2.97,2.65,0,25,50,40,Clayey,Pulses,14-35-14,70.7562239513525
270,8.6,486,7.4,0.67,0.89,28.6,0.71,0.59,1.24,2.89,2.41,1,25,50,40,Clayey,Pulses,10-26-26,87.1580071299382
220,5.5,539,7.6,0.42,0.83,8.5,0.39,0.52,1.21,2.5,2.21,0,25,50,40,Clayey,Pulses,Urea,95.4540357458999
151,4.8,454,7.3,0.77,0.75,8,0.36,0.67,1.24,2.76,2.06,0,25,50,40,Clayey,Pulses,14-35-14,79.328633458239
201,5.3,507,7.6,0.53,0.39,10.86,0.32,9.32,0.69,9.03,0.69,0,25,50,40,Clayey,Pulses,28-28,89.4829496250629
151,5.9,581,7.6,0.48,0.88,4.52,0.42,4.05,1.06,5.3,0.29,0,25,50,40,Clayey,Pulses,10-26-26,101.965175085824
75,7.9,327,7.8,0.66,0.1,7.24,0.5,7.32,0.87,6.32,0.4,0,25,50,40,Clayey,Pulses,Urea,55.7777424415971
232,5.9,275,7.7,0.43,0.68,5.43,0.47,6.52,1.52,8.05,0.32,0,30,59,31,Red,Tobacco,DAP,50.0778517846958
207,7.5,549,7.7,0.72,0.49,3.32,0.36,4.56,1.96,13.02,0.67,0,25,50,40,Clayey,Pulses,20-20,97.0090404156551
264,6.4,496,7.9,0.38,0.78,3.92,0.52,8.06,1.32,14.52,0.46,1,25,50,40,Clayey,Pulses,Urea,88.7637313000204
188,5,454,7.6,0.74,0.2,5.13,0.34,3.59,1.54,17.56,0.55,0,25,50,40,Clayey,Pulses,DAP,79.903520732111
326,6.8,486,7.8,0.82,1.07,4.22,0.58,4.58,0.86,11.52,0.74,1,25,50,40,Clayey,Pulses,14-35-14,88.5674593263195
295,4.8,327,7.6,0.43,0.88,3.32,0.42,7.63,0.51,9.03,0.86,1,30,59,31,Red,Tobacco,28-28,60.8417415808078
126,8.6,454,7.7,0.62,0.39,7.54,0.32,9.32,1.35,4.85,0.27,0,25,50,40,Clayey,Pulses,Urea,79.0094265716155
207,6.8,327,7.6,0.71,0.68,7.84,0.57,4.02,1.25,6.32,0.23,0,25,50,40,Clayey,Pulses,17-17-17,58.1462893353364
213,7.2,338,7.7,0.43,0.2,4.22,0.58,9.63,0.86,8.32,0.34,0,25,50,40,Clayey,Pulses,20-20,60.1915546685832
69,4.4,507,7.7,0.53,0.1,5.13,0.39,4.02,1.03,13.05,0.25,0,25,50,40,Clayey,Pulses,Urea,88.0316720107516
220,5.9,539,7.5,0.42,0.29,5.73,0.33,8.32,1.45,9.63,0.32,0,25,50,40,Clayey,Pulses,28-28,95.4537889029285
163,8.1,496,7.5,0.77,1.17,6.33,0.51,6.03,1.32,7.63,0.4,0,25,50,40,Clayey,Pulses,14-35-14,86.957545462049
138,6.1,348,7.4,0.41,0.88,4.52,0.28,4.85,0.85,13.05,0.29,0,25,50,40,Clayey,Pulses,DAP,60.338660920733
88,7.5,444,7.5,0.76,0.1,7.84,0.52,4.05,1.63,7.63,0.34,0,25,50,40,Clayey,Pulses,17-17-17,76.848892529149
195,4.8,422,7.4,0.52,0.29,5.73,0.33,8.32,1.45,9.63,0.32,0,25,50,40,Clayey,Pulses,Urea,74.3981654935678
251,6.8,391,7.6,0.36,0.88,4.22,0.48,5.02,0.63,6.03,0.25,0,25,50,40,Clayey,Pulses,28-28,70.2857379110847
207,7.5,412,7.4,0.61,0.1,5.73,0.52,9.32,1.02,11.63,0.78,0,25,50,40,Clayey,Pulses,DAP,72.8848429423181
195,6.6,433,7.5,0.6,0.49,9.65,0.39,7.15,1.58,12.02,2.29,0,25,50,40,Clayey,Pulses,17-17-17,76.3293082878729
220,4.6,401,7.7,0.52,0.78,4.22,0.24,4.02,1.3,7.51,0.29,0,25,50,40,Clayey,Pulses,Urea,71.2533938890382
251,7.5,380,7.6,0.76,1.07,10.86,0.28,5.21,0.69,12.21,0.53,0,25,50,40,Clayey,Pulses,28-28,68.4008378857588
238,7,570,7.7,0.53,0.88,5.43,0.63,3.26,1.05,5.25,0.61,0,25,50,40,Clayey,Pulses,Urea,101.233290394307
119,8.3,444,7.6,0.76,0.49,7.84,0.41,4.05,2.02,4.85,0.46,0,25,50,40,Clayey,Pulses,DAP,77.1454928984979
163,5.9,444,7.5,0.53,0.68,9.65,0.52,2.89,1.58,13.25,0.29,0,25,50,40,Clayey,Pulses,20-20,77.7276007298794
207,8.3,612,7.5,0.46,0.2,4.22,0.35,6.32,0.68,8.5,0.55,0,25,50,40,Clayey,Pulses,17-17-17,108.184147162382
138,5.9,602,7.5,0.42,1.17,5.13,0.6,7.51,0.78,6.32,0.74,0,25,50,40,Clayey,Pulses,DAP,105.58880345915
126,7.2,433,7.5,0.65,0.98,8.75,0.52,3.15,1.05,7.15,0.9,0,25,50,40,Clayey,Pulses,Urea,75.2644822770814
157,6.8,475,7.4,0.45,0.88,7.84,0.48,4.32,1.96,9.52,0.31,0,25,50,40,Clayey,Pulses,20-20,83.1426730024033
201,6.6,655,7.6,0.64,0.1,6.33,0.41,1.69,1.57,11.05,0.53,0,25,50,40,Clayey,Pulses,28-28,115.753536206414
257,8.6,465,7.4,0.44,0.78,4.52,0.36,6.23,0.68,14.15,0.4,0,25,50,40,Clayey,Pulses,14-35-14,83.2130469240194
201,7.7,327,7.5,0.6,0.59,10.26,0.25,4.05,0.5,12.3,0.32,0,25,50,40,Clayey,Pulses,Urea,57.9906818763789
257,6.4,422,7.5,0.59,0.39,5.43,0.28,2.68,1.26,19.21,0.55,0,25,50,40,Clayey,Pulses,DAP,75.7717184594567
251,8.1,539,7.6,0.72,0.68,6.64,0.37,3.51,1.03,14.52,0.59,0,25,50,40,Clayey,Pulses,20-20,96.0150261121702
201,4.8,496,7.5,0.53,0.49,5.43,0.25,5.69,2.02,7.68,0.65,0,25,50,40,Clayey,Pulses,28-28,87.5397368059252
333,7,422,7.5,0.48,0.1,9.65,0.39,3.9,1.89,13.25,0.53,1,30,59,31,Red,Tobacco,DAP,77.913925743334
320,8.3,359,7.4,0.53,1.17,5.13,0.52,4.12,0.87,6.17,0.4,1,30,59,31,Red,Tobacco,Urea,66.9872431277515
232,5,560,7.4,0.76,0.29,4.25,0.42,2.05,1.05,12.05,0.31,0,25,50,40,Clayey,Pulses,14-35-14,99.3663410124909
326,5.3,549,7.6,0.82,0.59,8.75,0.57,1.98,1.63,6.38,0.73,1,25,50,40,Clayey,Pulses,28-28,99.3992329267924
195,5.5,507,7.4,0.61,0.1,10.86,0.35,3.25,0.78,4.51,0.21,0,25,50,40,Clayey,Pulses,Urea,89.3853300046762
345,6.8,496,7.7,0.57,0.88,9.65,0.29,6.3,1.51,9.32,0.34,1,25,50,40,Clayey,Pulses,14-35-14,90.8015724443686
257,8.1,634,7.6,0.81,0.39,4.52,0.57,7.21,1.63,11.5,0.53,1,25,50,40,Clayey,Pulses,DAP,112.855004125885
251,4.8,444,7.4,0.54,0.59,7.24,0.48,4.15,0.98,13.52,0.4,0,25,50,40,Clayey,Pulses,17-17-17,79.4319930694858
226,6.1,644,7.4,0.56,0.29,5.43,0.29,3.26,1.05,14.25,0.29,0,25,50,40,Clayey,Pulses,DAP,114.139675272795
264,7.2,496,7.6,0.62,0.1,9.95,0.34,6.53,1.87,6.25,0.42,1,25,50,40,Clayey,Pulses,20-20,88.7632571009402
213,6.8,612,7.7,0.6,0.78,5.13,0.51,1.87,1.6,9.32,0.25,0,25,50,40,Clayey,Pulses,14-35-14,108.270408138321
132,6.4,517,7.5,0.61,0.49,7.54,0.46,5.02,0.69,7.15,0.71,0,25,50,40,Clayey,Pulses,28-28,90.3273481916103
195,6.6,750,7.5,0.53,0.68,5.73,0.28,6.33,0.7,11.56,0.78,0,25,50,40,Clayey,Pulses,Urea,132.62975963483
50,8.1,454,7.6,0.74,1.17,10.26,0.33,4.51,1.3,6.25,0.29,0,25,50,40,Clayey,Pulses,DAP,78.4104901458795
201,5.3,634,7.5,0.68,0.88,4.52,0.51,6.23,1.89,7.05,0.53,0,25,50,40,Clayey,Pulses,14-35-14,112.01575776836
100,8.3,676,7.6,0.59,0.1,8.75,0.27,4.05,0.52,15.62,0.4,0,25,50,40,Clayey,Pulses,20-20,118.56601113881
232,7,444,7.6,0.62,1.27,10.56,0.39,7.35,0.66,7.53,0.27,0,25,50,40,Clayey,Pulses,28-28,79.0029165480165
69,5.9,612,7.6,0.52,0.68,4.22,0.51,6.49,1.05,9.32,0.31,0,25,50,40,Clayey,Pulses,Urea,106.903388766937
31,4.6,581,7.5,0.63,1.17,8.14,0.6,4.05,1.96,4.15,0.52,0,25,50,40,Clayey,Pulses,14-35-14,101.206068969856
63,8.3,496,7.4,0.62,0.88,6.94,0.57,6.32,1.32,12.58,0.63,0,25,50,40,Clayey,Pulses,28-28,86.021162703498
132,8.1,433,7.5,0.51,0.78,26.24,0.33,5.21,3.02,4.52,0.55,0,25,50,40,Clayey,Pulses,20-20,75.3380832628865
201,8.6,507,7.7,0.72,0.1,4.22,0.49,8.51,0.75,6.32,0.76,0,25,50,40,Clayey,Pulses,Urea,89.4810408966315
358,8.3,338,7.4,0.64,0.78,7.54,0.35,2.48,1.53,11.89,0.5,1,30,59,31,Red,Tobacco,DAP,65.0035270714912
63,7,422,7.6,0.57,0.59,4.83,0.26,3.15,1.96,9.06,0.38,0,25,50,40,Clayey,Pulses,17-17-17,72.7260813289065
195,7.5,444,7.5,0.64,0.15,9.9,0.34,3.77,0.97,7.83,0.17,0,25,50,40,Clayey,Pulses,28-28,78.2636777487751
207,5.9,507,7.5,0.55,0.44,3.8,0.35,3.24,0.88,7.94,0.19,0,25,50,40,Clayey,Pulses,Urea,89.5829705148183
126,8.3,496,7.6,0.61,0.47,9.6,0.4,3.56,0.74,8.65,0.09,0,25,50,40,Clayey,Pulses,20-20,86.5102990707187
88,7.2,391,7.6,0.63,0.29,6.5,0.26,3.66,0.54,8.4,0.08,0,25,50,40,Clayey,Pulses,17-17-17,67.3547231363736
163,9,338,7.5,0.47,0.97,7.2,0.26,3.84,0.65,9.27,0.11,0,25,50,40,Clayey,Pulses,DAP,59.0349214812077
138,7.7,454,7.6,0.58,0.32,7.5,0.33,3.94,0.6,9.04,0.12,0,25,50,40,Clayey,Pulses,Urea,79.1546341213596
188,4.6,549,7.7,0.53,0.27,7.9,0.34,3.49,0.43,8.45,0.12,0,25,50,40,Clayey,Pulses,20-20,96.7264762470048
195,8.3,475,7.6,0.42,0.15,11.3,0.29,3.56,0.55,8.66,0.17,0,25,50,40,Clayey,Pulses,28-28,83.7277636447563
195,8.1,327,7.61,0.67,0.21,8.6,0.23,3.43,0.7,8.53,0.18,0,25,50,40,Clayey,Pulses,10-26-26,57.8398246924529
264,7.2,444,7.47,0.45,0.35,6.4,0.15,3.95,0.76,8.65,0.11,1,25,50,40,Clayey,Pulses,Urea,79.7411721927518
182,7.7,507,7.46,0.53,0.29,4.4,0.25,2.35,0.55,7.54,0.14,0,25,50,40,Clayey,Pulses,DAP,89.182903347627
188,5.3,496,7.52,0.44,0.35,13.1,0.36,3.19,0.69,7.99,0.17,0,25,50,40,Clayey,Pulses,20-20,87.3272686287944
132,6.8,570,7.43,0.52,0.38,8.9,0.36,2.96,0.8,8.66,0.18,0,25,50,40,Clayey,Pulses,14-35-14,99.8048457940575
213,5.3,433,7.48,0.77,0.47,6,0.37,2.77,0.87,8.94,0.11,0,25,50,40,Clayey,Pulses,10-26-26,76.6828393850378
144,8.3,370,7.46,0.68,0.53,3.7,0.25,2.55,0.99,8.35,0.08,0,25,50,40,Clayey,Pulses,20-20,64.3247942116895
182,5.9,549,7.57,0.78,0.35,5.6,0.29,2.96,0.97,8.6,0.14,0,25,50,40,Clayey,Pulses,28-28,96.6415809784267
182,4.8,433,7.62,0.44,0.29,6.9,0.37,3.16,0.87,8.76,0.16,0,25,50,40,Clayey,Pulses,Urea,76.0951044984245
132,7.2,560,7.54,0.81,0.12,7.2,0.39,3.53,0.95,9.23,0.18,0,25,50,40,Clayey,Pulses,28-28,98.0154323251734
138,6.1,454,7.73,0.66,0.97,7.7,0.37,2.95,1.1,7.65,0.11,0,25,50,40,Clayey,Pulses,Urea,79.1556860818436
207,5.9,391,7.58,0.78,0.76,8.9,0.29,2.54,1.2,7.9,0.13,0,25,50,40,Clayey,Pulses,DAP,69.2218803989984
113,5,370,7.6,0.82,0.71,10.1,0.19,2.75,0.97,7.96,0.18,0,25,50,40,Clayey,Pulses,14-35-14,63.8792037258306
220,7,359,7.67,0.78,0.35,9.6,0.29,2.6,0.85,8.27,0.11,0,25,50,40,Clayey,Pulses,28-28,63.9835834392334
126,8.1,338,7.4,0.67,0.29,9.9,0.34,2.66,0.97,8.55,0.12,0,25,50,40,Clayey,Pulses,20-20,58.3749400108537
163,6.8,327,7.37,0.51,0.38,8.9,0.35,2.93,0.97,8.34,0.12,0,25,50,40,Clayey,Pulses,10-26-26,57.1119857571256
201,7.7,454,7.31,0.44,0.47,9,0.26,3.24,1.05,8.45,0.11,0,25,50,40,Clayey,Pulses,DAP,80.1334241217009
100,8.3,570,7.44,0.41,0.35,13.7,0.34,3.09,1.2,9,0.12,0,25,50,40,Clayey,Pulses,14-35-14,99.5368431356252
69,7,560,7.36,0.47,0.41,4.4,0.29,3.06,1.07,9.26,0.12,0,25,50,40,Clayey,Pulses,Urea,97.5547665122733
289,7.9,465,7.42,0.43,0.35,8.9,0.36,3.24,0.77,9.73,0.14,1,25,50,40,Clayey,Pulses,DAP,83.9868811224961
333,7.5,507,7.53,0.54,0.44,9.6,0.23,2.75,0.85,8.45,0.17,0,25,50,40,Clayey,Pulses,20-20,92.3494783890899
314,7.2,391,7.61,0.52,0.47,3.7,0.34,2.83,0.9,8.66,0.18,1,30,59,31,Red,Tobacco,28-28,72.1128400764676
301,6.8,496,7.57,0.68,1,13.1,0.25,2.65,0.97,8.34,0.11,1,25,50,40,Clayey,Pulses,14-35-14,89.6315068387896
289,8.3,507,7.45,0.49,0.29,4.6,0.4,2.96,0.97,8.25,0.12,1,25,50,40,Clayey,Pulses,10-26-26,91.242672965165
220,5.9,454,7.43,0.67,0.12,8.9,0.33,3.14,0.85,8.97,0.12,0,25,50,40,Clayey,Pulses,Urea,80.5007232925662
232,7.7,549,7.38,0.43,0.44,7.2,0.34,3.25,0.74,8.37,0.17,0,25,50,40,Clayey,Pulses,10-26-26,97.4244513640442
